Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2023,"Manny Machado","SDP",196,0,0,0,1,0.147959183,0.153061224,0,0,0.29591837,0.33673469,0.36734694,0.20918367,0.42346939,0.36734694,11493
2023,"Bryce Harper","PHI",103,0,0,0,1,0.08737864,0.194174757,0,0,0.24271845,0.33009709,0.42718447,0.16504854,0.38834951,0.44660194,11579
2023,"Willson Contreras","STL",105,0,0,0,1,0.133333333,0.161904761,0,0,0.15238095,0.38095238,0.46666667,0.20952381,0.39047619,0.4,11609
2023,"Brandon Drury","LAA",136,0,0,0,1,0.095588235,0.19117647,0,0,0.27941176,0.32352941,0.39705882,0.21323529,0.38970588,0.39705882,11615
2023,"Elias Diaz","COL",134,0,0,0,1,0.149253731,0.104477611,0,0,0.24626866,0.42537313,0.32835821,0.25373134,0.39552239,0.35074627,11680
2023,"Nick Castellanos","PHI",165,0,0,0,1,0.066666666,0.175757575,0,0,0.24848485,0.35151515,0.4,0.13939394,0.46666667,0.39393939,11737
2023,"J.T. Realmuto","PHI",151,0,0,0,1,0.099337748,0.132450331,0,0,0.22516556,0.41721854,0.35761589,0.1986755,0.45033113,0.35099338,11739
2023,"Joc Pederson","SFG",113,0,0,0,1,0.088495575,0.123893805,0,0,0.30088496,0.36283186,0.33628319,0.12389381,0.44247788,0.43362832,11899
2023,"Jon Berti","MIA",82,0,0,0,1,0.048780487,0.085365853,0,0,0.06097561,0.34146341,0.59756098,0.19512195,0.43902439,0.36585366,12037
2023,"Max Kepler","MIN",149,0,0,0,1,0.060402684,0.161073825,0,0,0.25503356,0.38255034,0.36241611,0.12080537,0.4295302,0.44966443,12144
2023,"Eddie Rosario","ATL",135,0,0,0,1,0.088888888,0.14074074,0,0,0.27407407,0.44444444,0.28148148,0.13333333,0.5037037,0.36296296,12155
2023,"Xander Bogaerts","SDP",162,0,0,0,1,0.067901234,0.11728395,0,0,0.2037037,0.31481481,0.48148148,0.16049383,0.48765432,0.35185185,12161
2023,"Jace Peterson","2 Tms",105,0,0,0,1,0.047619047,0.057142857,0,0,0.18095238,0.35238095,0.46666667,0.17142857,0.47619048,0.35238095,12325
2023,"Kevin Pillar","ATL",61,0,0,0,1,0.147540983,0.147540983,0,0,0.3442623,0.29508197,0.36065574,0.26229508,0.40983607,0.32786885,12434
2023,"Kolten Wong","2 Tms",68,0,0,0,1,0.102941176,0.058823529,0,0,0.25,0.32352941,0.42647059,0.20588235,0.54411765,0.25,12532
2023,"Marcus Semien","TEX",263,0,0,0,1,0.076045627,0.106463878,0,0,0.33460076,0.36501901,0.30038023,0.16412214,0.46183206,0.3740458,12533
2023,"C.J. Cron","2 Tms",78,0,0,0,1,0.141025641,0.153846153,0,0,0.29487179,0.37179487,0.33333333,0.24358974,0.30769231,0.44871795,12546
2023,"Eugenio Suarez","SEA",171,0,0,0,1,0.058479532,0.12865497,0,0,0.22222222,0.38011696,0.39766082,0.15789474,0.4619883,0.38011696,12552
2023,"George Springer","TOR",174,0,0,0,1,0.103448275,0.120689655,0,0,0.25862069,0.37356322,0.36781609,0.18390805,0.47126437,0.34482759,12856
2023,"Francisco Lindor","NYM",216,0,0,0,1,0.12037037,0.134259259,0,0,0.31018519,0.38425926,0.30555556,0.2037037,0.43981481,0.35648148,12916
2023,"Brandon Nimmo","NYM",176,0,0,0,1,0.125,0.130681818,0,0,0.23295455,0.35227273,0.41477273,0.16477273,0.42045455,0.41477273,12927
2023,"Javier Baez","DET",124,0,0,0,1,0.088709677,0.072580645,0,0,0.28225806,0.36290323,0.35483871,0.15322581,0.58064516,0.26612903,12979
2023,"Teoscar Hernandez","SEA",157,0,0,0,1,0.076433121,0.165605095,0,0,0.17834395,0.38216561,0.43949045,0.17834395,0.40127389,0.42038217,13066
2023,"Josh Bell","2 Tms",142,0,0,0,1,0.063380281,0.154929577,0,0,0.22535211,0.4084507,0.36619718,0.15492958,0.45774648,0.38732394,13145
2023,"Jorge Polanco","MIN",101,0,0,0,1,0.08910891,0.118811881,0,0,0.25742574,0.3960396,0.34653465,0.16831683,0.4950495,0.33663366,13152
2023,"Orlando Arcia","ATL",115,0,0,0,1,0.086956521,0.147826086,0,0,0.28695652,0.33043478,0.3826087,0.19130435,0.4173913,0.39130435,13185
2023,"Max Muncy","LAD",165,0,0,0,1,0.133333333,0.218181818,0,0,0.36363636,0.35151515,0.28484848,0.16969697,0.43030303,0.4,13301
2023,"Ildemaro Vargas","WSN",64,0,0,0,1,0.109375,0.0625,0,0,0.25,0.40625,0.34375,0.15625,0.59375,0.25,13324
2023,"Christian Walker","ARI",208,0,0,0,1,0.110576923,0.149038461,0,0,0.26442308,0.38461538,0.35096154,0.24038462,0.39903846,0.36057692,13419
2023,"Jose Ramirez","CLE",233,0,0,0,1,0.150214592,0.098712446,0,0,0.33476395,0.37339056,0.29184549,0.25321888,0.44206009,0.30472103,13510
2023,"Patrick Wisdom","CHC",83,0,0,0,1,0.108433734,0.277108433,0,0,0.34939759,0.43373494,0.21686747,0.20481928,0.3373494,0.45783133,13602
2023,"Mookie Betts","LAD",234,0,0,0,1,0.089743589,0.162393162,0,0,0.32051282,0.39316239,0.28632479,0.13675214,0.3974359,0.46581197,13611
2023,"Ketel Marte","ARI",168,0,0,0,1,0.119047619,0.142857142,0,0,0.26190476,0.36309524,0.375,0.17857143,0.4702381,0.35119048,13613
2023,"Jeimer Candelario","2 Tms",155,0,0,0,1,0.083870967,0.13548387,0,0,0.28387097,0.33548387,0.38064516,0.18064516,0.46451613,0.35483871,13621
